P,Organisation,Title,Pathway,Scope
1,Boliden,Slag reduction with hydrogen,Electricity and hydrogen,Scope 1
2,Boliden,Fossil-free underground mine,Electricity and hydrogen,Scope 1
3,Boliden,Heat exchanger system mine ventilation Kankberg mine,Energy efficiency,Scope 2
4,Boliden,Ecolink - Utilize waste heat for Skellefteå's district heating network,Energy efficiency,Others
5,Borealis,Plastic recycling refinery in Stenungsund,Recycling,Scope 1
6,Borealis,Plastic recycling refinery in Stenungsund,Recycling,Scope 1
7,E.ON,Carbon Network South Sweden (CNetSS),CCS,Infrastructure
8,E.ON,Carbon Network South Sweden (CNetSS) – phase 3,CCS,Infrastructure
9,E.ON,Delivery of biogas to industrial customer in southern Skåne,Biofuels and biomass,Others
10,E.ON,Large-scale production of biochar as a renewable raw material in the fossil-free value chain within the iron and steel industry,Biofuels and biomass,Others
11,E.ON,Feasibility study for bio-CCS at Åby and Händelö combined heat and power plant,BECSS,Scope 1
12,E.ON,bioCCS at the new combined heat and power plant in Malmö Energy Port,BECSS,Scope 1
13,E.ON,Energy efficiency,Energy efficiency,Others
14,Heidelberg Materials,CemZero - Heat transfer with plasma in rotary kilns,CCS,Scope 1
15,Heidelberg Materials,CemZero – Carbon dioxide-free products with electrified manufacturing – reactivity of cement clinker with secondary additives,CCS,Scope 1
16,Heidelberg Materials,CemZero-Fundamental properties of standalone plasma and plasma in combination with calcium-based bed materials in rotary kiln.,CCS,Scope 1
17,Heidelberg Materials,Feasibility study CCS Slite – the foundation for the world's first climate-positive cement factory,CCS,Scope 1
18,Heidelberg Materials,Feasibility study Slite CCS - on the way to the world's first climate-neutral cement factory,CCS,Scope 1
19,Heidelberg Materials,Design preparations FEED Slite CCS – towards zero net emissions 2030,CCS,Scope 1
20,Heidelberg Materials,Radiobased calcination determination in the production of cement and burnt lime,Energy efficiency,Scope 1
21,Heidelberg Materials,Installation of silo capacity for the production of concrete with lower climate impact.,Energy efficiency,Scope 1
22,Heidelberg Materials,Installation of silo capacity for the production of concrete with lower climate impact.,Energy efficiency,Scope 1
23,Höganäs,Large-scale production of biochar as a renewable raw material in the fossil-free value chain within the iron and steel industry,Biofuels and biomass,Scope 1
24,Höganäs,Pilot study with carbon dioxide neutral biochar in the Höganäs process,Biofuels and biomass,Scope 1
25,Höganäs,Carbon Network South Sweden (CNetSS),CCS,Infrastructure
26,Höganäs,Increased energy recovery for district heating,Energy efficiency,Others
