name,industry_actor_type
Air Liquide Gas,Other firm
Alleima,Industrial emitter
AMEXCI,Other firm
Arla Foods,Other firm
AstraZeneca,Other firm
BDX Företagen,Other firm
BillerudKorsnäs,Industrial emitter
Biorecro,Other firm
BioShare,Other firm
Björneborg Steel,Industrial emitter
Boden Business Park,Government or intermediary
Bodens Energi,Industrial emitter
Boliden,Industrial emitter
Borealis,Industrial emitter
Captimise,Other firm
Carbomax,Other firm
Chalmers,University or research institute
Cimprogetti,Other firm
Combitech,Other firm
CPH-Malmö Port,Other firm
DABO,Other firm
Dana TM4,Other firm
Dual Borgstena,Other firm
E.ON,Industrial emitter
Energiforsk,University or research institute
EnginZyme,Other firm
EnviGas,Other firm
Epiroc,Other firm
Falu Energi & Vatten,Industrial emitter
Fiskeby Board,Industrial emitter
Fortum,Industrial emitter
Forum For Design,Other firm
Future Eco North Sweden,Government or intermediary
Gävle Energi,Industrial emitter
Gävle Hamn,Other firm
Gina Tricot,Other firm
Global Compact Network Sweden,Government or intermediary
Göteborg Energi,Industrial emitter
Göteborgs Hamn,Other firm
Granitor,Other firm
Grimaldi Development,Other firm
GU,University or research institute
H2GS,New entrant
Harads Arctic Heat,Other firm
Heidelberg Materials,Industrial emitter
Helly Hansen,Other firm
Hitachi Energy Sweden,Other firm
Höganäs,Industrial emitter
Högskolan i Borås,University or research institute
Högskolan i Gävle,University or research institute
Holly Chemistry,Other firm
Hulteberg,Other firm
HYBRIT,Innovation partnership
IKEA,Industrial emitter
INAB,Other firm
Inasco Asbestos Converting,Other firm
Itasca Consultants,Other firm
IVL,University or research institute
Jernkontoret,Government or intermediary
Jönköping Energi,Industrial emitter
Josefsson Sustainable Chemistry,Other firm
Kalkproduktion Storugns,Industrial emitter
KappAhl,Other firm
Katrinefors Kraftvärme,Industrial emitter
Kemira Kemi,Industrial emitter
KLIMPO,Other firm
Kobolde & Partners,Other firm
Kraftringen Energi,Industrial emitter
KTH,University or research institute
Kubal,Industrial emitter
Kvarkenhamnar,Other firm
Lantmännen,Industrial emitter
Lidköping Energi,Industrial emitter
LimeArc Process,Other firm
Linde,Industrial emitter
Linköpings Universitet,University or research institute
LKAB,Industrial emitter
LTU,University or research institute
Lunds universitet,University or research institute
Macon,Other firm
Mälardalens Universitet,University or research institute
Mälarenergi,Industrial emitter
Mentimeter,Other firm
Minfo,University or research institute
MMM,Other firm
Nässjö Affärsverk,Industrial emitter
National,National
Nordea,Other firm
Nordic DAC Group,Other firm
Nordic Elements,Other firm
Nordion Energi,Other firm
Nordkalk,Industrial emitter
Öresundskraft,Industrial emitter
Outokumpu,Industrial emitter
Ovako,Industrial emitter
Paroc,Industrial emitter
Perstorp,Industrial emitter
Powerpipe Systems,Other firm
Preem,Industrial emitter
PUR-gruppen,Government or intermediary
Radarbolaget i Gävle,Other firm
Rejlers,Other firm
Renova,Industrial emitter
Rewin Textiles,Other firm
RISE,University or research institute
Sandvik,Industrial emitter
SAS,Other firm
Scanarc,Other firm
Scandinavian Enviro Systems,Other firm
SEI,University or research institute
Seniorit,Other firm
Skellefteå Kraft,Industrial emitter
Skövde Energi,Industrial emitter
SMA Mineral,Industrial emitter
Smurfit Kappa,Industrial emitter
Söderenergi,Industrial emitter
Södertälje Hamn,Other firm
SSAB,Industrial emitter
St1,Industrial emitter
Stegra,New entrant
Stena Recycling,Other firm
Stenungsunds kommun,Government or intermediary
Stockholm Exergi,Industrial emitter
Stockholms Hamn,Other firm
Stora Enso,Industrial emitter
Stuns,Government or intermediary
SU,University or research institute
Sundsvall Energi,Industrial emitter
Sundsvall Logistikpark,Government or intermediary
Sundsvalls Hamn,Other firm
Sundsvalls kommun,Government or intermediary
Sveaskog Förvaltnings Aktiebolag,Other firm
Swedavia Energi,Other firm
Swerim,University or research institute
Sysav,Industrial emitter
TCM,Other firm
Tekniska verken i Linköping,Industrial emitter
Torkapparater-Termisk,Other firm
TRB Sverige,Other firm
Tricorona,Other firm
Trollhättan Energi,Other firm
Uddeholms,Industrial emitter
Umeå Energi,Industrial emitter
Umeå universitet,University or research institute
Uniper,Industrial emitter
Uppsala kommun,Government or intermediary
Uppsala universitet,University or research institute
Vargön Alloys,Industrial emitter
Vattenfall,Industrial emitter
Växjö Energi,Industrial emitter
Ving Sverige,Other firm
Volupe,Other firm
Volvo,Industrial emitter
Votion Biorefineries,New entrant
Wargön Innovation,Government or intermediary
Zeo Concept,Other firm
