name,industry,fossil_t_co2
SSAB,Iron and steel,5003798
Preem,Refinery,1970982
Heidelberg Materials,Cement and minerals,1753629
LKAB,Iron and steel,596859
St1,Refinery,568991
Borealis,Chemicals,527578
Stockholm Exergi,Heat and power,470923
E.ON,Heat and power,438550
Boliden,Metals,301166
Tekniska verken i Linköping,Heat and power,293850
Sysav,Heat and power,282788
SMA Mineral,Cement and minerals,269304
Renova,Heat and power,223274
Kubal,Metals,217897
Vargön Alloys,Metals,196874
Höganäs,Iron and steel,193266
Nordkalk,Cement and minerals,189875
Vattenfall,Heat and power,182327
Outokumpu,Iron and steel,175895
Uniper,Heat and power,175747
Mälarenergi,Heat and power,161508
Kalkproduktion Storugns,Cement and minerals,141455
Ovako,Iron and steel,133690
Nynas,Refinery,131919
Perstorp,Chemicals,125636
SCA,Pulp and paper,124418
Nouryon,Chemicals,103275
Nordic Sugar,Food,96880
Stora Enso,Pulp and paper,93855
Öresundskraft,Heat and power,92513
Paroc,Cement and minerals,90706
Sundsvall Energi,Heat and power,89506
Halmstads Energi och Miljö,Heat and power,86567
BillerudKorsnäs,Pulp and paper,85729
Söderenergi,Heat and power,82348
Norcarb Engineered Carbons,Chemicals,78690
Sandvik,Iron and steel,77180
Jönköping Energi,Heat and power,75810
Göteborg Energi,Heat and power,74527
INOVYN Sverige,Chemicals,71954
Umeå Energi,Heat and power,68817
Bodens Energi,Heat and power,63277
Ardagh Glass,Cement and minerals,62810
Husum Pulp,Pulp and paper,59688
Uddevalla Kraft,Heat and power,57941
Lidköping Energi,Heat and power,55693
Saint Gobain Sweden,Cement and minerals,46947
Övik Energi,Heat and power,46100
Fiskeby Board,Pulp and paper,43780
Värmevärden,Heat and power,42230
Borås Energi och Miljö,Heat and power,41850
Metsä,Pulp and paper,40765
Borlänge Energi,Heat and power,40525
Volvo,Other,35429
Åmotfors Energi,Heat and power,33933
Nordic carbide,Chemicals,32553
Kemira Kemi,Chemicals,32316
Södra skogsägarna,Pulp and paper,30483
Uddeholms,Iron and steel,30276
Nybro Värmecentral,Heat and power,29407
Bollnäs Energi,Heat and power,29133
Kiruna Kraft,Heat and power,29093
Luleå Energi,Heat and power,29090
Landskrona Energi Kraft,Heat and power,28625
Befesa Scandust,Other,27987
Ahlstrom-Munksjö,Pulp and paper,27980
Skövde Energi,Heat and power,27708
Ljungby Energi,Heat and power,26791
Karlskoga Kraftvärmeverk,Heat and power,26117
Hässleholm Miljö,Heat and power,24590
Västerviks Miljö & Energi,Heat and power,24242
Knauf Danogips,Other,23411
Eksjö Energi,Heat and power,23147
Arctic Paper,Pulp and paper,21447
Karlstads Energi,Heat and power,21439
Mondi Dynäs,Pulp and paper,17873
Skellefteå Kraft,Heat and power,16633
