funding_org,projectnr,titel,name,engagement,pathway,scope
EM,2018-90013,"HYBRIT Pilot Fossilfri järn-, stål- och vätgasproduktion",Vattenfall,3600450,Electricity and hydrogen,Others
EM,2018-90013,"HYBRIT Pilot Fossilfri järn-, stål- och vätgasproduktion",SSAB,25941886,Electricity and hydrogen,Scope 1
EM,2018-90013,"HYBRIT Pilot Fossilfri järn-, stål- och vätgasproduktion",LKAB,46835882,Electricity and hydrogen,Scope 1
EM,2018-90027,"Testbädd för integrerat, effektivt och koldioxidfritt gruvbrytningssystem",LKAB,83972000,Electricity and hydrogen,Scope 1
EM,2018-90113,Förnybara energibärare vid produktion av bränd kalk,Nordkalk,1500000,Biofuels and biomass,Scope 1
EM,2019-90008,CemZero - Värmeöverföring med plasma i roterugnar,Heidelberg Materials,192000,CCS,Scope 1
EM,2019-90045,Minskad CO2-emission genom designad tillverkning av biokol för masugnens restproduktbrikett - MICO,SSAB,0,Biofuels and biomass,Scope 1
EM,2019-90070,Transformativ omställning mot nettonegativautsläpp inom svensk raffinaderi- och kemiindustri,Borealis,0,Recycling,Scope 1
EM,2019-90070,Transformativ omställning mot nettonegativautsläpp inom svensk raffinaderi- och kemiindustri,Preem,0,Recycling,Scope 1
EM,2019-90091,CemZero – direktavskiljning av koldioxid från kalcinering av karbonatbaserade råmaterial vid produktion av cementklinker och bränd kalk,Heidelberg Materials,0,CCS,Scope 1
EM,2019-90091,CemZero – direktavskiljning av koldioxid från kalcinering av karbonatbaserade råmaterial vid produktion av cementklinker och bränd kalk,Nordkalk,0,CCS,Others
EM,2019-90091,CemZero – direktavskiljning av koldioxid från kalcinering av karbonatbaserade råmaterial vid produktion av cementklinker och bränd kalk,SMA Mineral,0,CCS,Others
EM,2019-90132,Radiobaserad kalcineringsbestämning vid tillverkning av cement och bränd kalk,Heidelberg Materials,120000,Energy efficiency,Scope 1
EM,2019-90179,HYBRIT Pilotprojekt - Vätgaslagring i bergrum med LRC-teknik,LKAB,91826,Electricity and hydrogen,Scope 1
EM,2019-90179,HYBRIT Pilotprojekt - Vätgaslagring i bergrum med LRC-teknik,SSAB,583317,Electricity and hydrogen,Scope 1
