"Incumbent","Clusters","Descriptions"
"SSAB","A3-B2-C7","High Emissions, Varied Engagement; Scaling electrification and hydrogen to address Scope 1 and 2 emissions while also reducing emissions from others.; Moderately Central, Moderately Engaged Actors"
"Preem","A3-B3-C2","High Emissions, Varied Engagement; Towards implementing CCS for reducing Scope 1 emissions; Highly Central, Low-Engagement Actors"
"Heidelberg Materials","A3-B3-C3","High Emissions, Varied Engagement; Towards implementing CCS for reducing Scope 1 emissions; Highly Central, Highly Engaged Actors"
"LKAB","A2-B2-C3","Relatively Low Emissions and High Engagement; Scaling electrification and hydrogen to address Scope 1 and 2 emissions while also reducing emissions from others.; Highly Central, Highly Engaged Actors"
"St1","A2-B1-C1","Relatively Low Emissions and High Engagement; Exploring Biofuels and Biomass for addressing Scope 1&2 emissions; Moderately Central, Highly Engaged Actors"
"Borealis","A2-B7-C5","Relatively Low Emissions and High Engagement; Strategic Recycling to Address Direct Emissions; Low-Centrality, Selectively Engaged Actors"
"Stockholm Exergi","A2-B5-C1","Relatively Low Emissions and High Engagement; Bioenergy, BECCS, and Recycling for Emission Reductions; Moderately Central, Highly Engaged Actors"
"E.ON","A1-B5-C2","Lower Emissions and Lower Engagement; Bioenergy, BECCS, and Recycling for Emission Reductions; Highly Central, Low-Engagement Actors"
"Boliden","A2-B2-C1","Relatively Low Emissions and High Engagement; Scaling electrification and hydrogen to address Scope 1 and 2 emissions while also reducing emissions from others.; Moderately Central, Highly Engaged Actors"
"Tekniska verken i Linköping","A2-B6-C5","Relatively Low Emissions and High Engagement; Strategic Engagement in Waste-to-Energy CCS and Bio-based Solutions; Low-Centrality, Selectively Engaged Actors"
"Sysav","A1-B6-C2","Lower Emissions and Lower Engagement; Strategic Engagement in Waste-to-Energy CCS and Bio-based Solutions; Highly Central, Low-Engagement Actors"
"SMA Mineral","A1-B3-C6","Lower Emissions and Lower Engagement; Towards implementing CCS for reducing Scope 1 emissions; Peripheral, Minimally Engaged Actors"
"Renova","A1-B4-C6","Lower Emissions and Lower Engagement; Creating infrastructure to address others’ emissions; Peripheral, Minimally Engaged Actors"
"Kubal","A2-B7-C5","Relatively Low Emissions and High Engagement; Strategic Recycling to Address Direct Emissions; Low-Centrality, Selectively Engaged Actors"
"Vargön Alloys","A1-B1-C2","Lower Emissions and Lower Engagement; Exploring Biofuels and Biomass for addressing Scope 1&2 emissions; Highly Central, Low-Engagement Actors"
"Höganäs","A1-B1-C4","Lower Emissions and Lower Engagement; Exploring Biofuels and Biomass for addressing Scope 1&2 emissions; Extremely Central, Low-Engagement Actors"
"Nordkalk","A1-B3-C7","Lower Emissions and Lower Engagement; Towards implementing CCS for reducing Scope 1 emissions; Moderately Central, Moderately Engaged Actors"
"Vattenfall","A2-B4-C3","Relatively Low Emissions and High Engagement; Creating infrastructure to address others’ emissions; Highly Central, Highly Engaged Actors"
"Outokumpu","A1-B1-C7","Lower Emissions and Lower Engagement; Exploring Biofuels and Biomass for addressing Scope 1&2 emissions; Moderately Central, Moderately Engaged Actors"
"Uniper","A2-B4-C1","Relatively Low Emissions and High Engagement; Creating infrastructure to address others’ emissions; Moderately Central, Highly Engaged Actors"
